OBJECTID *,Shape *,ARCID,UP_CELLS,Shape_Length,LENGTH,START_X,START_Y,MID_X,MID_Y,END_X,END_Y
867,Polyline,653961,113,603.628609,603.628609,-118648.3252,3373066.031,-118949.6515,3373083.187,-119250.9778,3373100.343
868,Polyline,653962,1033,3430.318399,3430.318399,-107976.1551,3372928.531,-106263.6633,3372832.912,-104788.3055,3372286.18
869,Polyline,653963,366,6084.446279,6084.446279,-104893.3739,3377634.127,-104115.098,3374891.307,-104788.3055,3372286.18
870,Polyline,653964,7515,8705.592265,8705.592265,-66671.8084,3377195.967,-65541.20725,3373276.495,-63018.5362,3370043.442
871,Polyline,653965,1255,3630.850263,3630.850263,-12704.4734,3370338.46,-11428.17099,3369209.188,-11229.8516,3367486.658
872,Polyline,653966,2103,401.815515,401.815515,-11229.8516,3367486.658,-11029.165,3367477.234,-10828.4784,3367467.81
873,Polyline,653967,531,19874.91932,19874.91932,3546.1193,3369584.251,-5320.124143,3371265.276,-10828.4784,3367467.81
874,Polyline,653968,181,7522.235981,7522.235981,50356.435,3364536.741,52637.35002,3367399.718,53220.6839,3370672.766
875,Polyline,653969,355,10474.99755,10474.99755,55772.3985,3364314.44,56322.40895,3369101.658,58545.7636,3373234.419
876,Polyline,653970,21236,7979.797136,7979.797136,99672.3918,3367473.246,102747.7254,3365508.721,105116.8243,3362644.978
877,Polyline,654026,327,3474.816881,3474.816881,-153033.2549,3374612.555,-154090.7672,3375991.052,-155305.0893,3377074.377
878,Polyline,654027,2147,28617.45111,28617.45111,-82902.6299,3382234.944,-75097.65902,3372532.467,-63018.5362,3370043.442
879,Polyline,654028,9664,613.631662,613.631662,-63018.5362,3370043.442,-62829.7306,3369801.598,-62640.925,3369559.754
880,Polyline,654029,536,21217.18434,21217.18434,-46395.8669,3376388.007,-56239.15714,3377120.276,-62640.925,3369559.754
881,Polyline,654079,124,2023.78251,2023.78251,-151252.3627,3374040.726,-152262.4391,3374101.303,-153033.2549,3374612.555
882,Polyline,654080,195,6789.082243,6789.082243,-133180.4405,3372740.807,-130349.252,3373549.949,-127286.6948,3373561.075
883,Polyline,654081,123,2326.162788,2326.162788,-109272.1017,3371375.102,-108907.7059,3372405.112,-107976.1551,3372928.531
884,Polyline,654082,10217,1417.878362,1417.878362,-62640.925,3369559.754,-62168.1047,3369071.171,-61460.1088,3369034.612
885,Polyline,654083,137,3309.437822,3309.437822,-59156.2361,3370772.45,-60610.3691,3370355.946,-61460.1088,3369034.612
886,Polyline,654084,219,7736.708762,7736.708762,40297.0189,3364261.798,42967.98548,3366428.345,45065.9526,3367768.008
